YearMonth,PracticeCode,NumberOfPatients
202309,A86023,9534
202309,A86024,7452
202309,A86025,14256
202309,A86026,7104
202309,A86027,18654
202309,A86028,7368
202309,A86029,19660
202309,A86030,11260
202309,A86031,10688
202309,A86033,7460
202309,A86036,11013
202309,A86037,7513
202309,A86038,5958
202309,A86040,6581
202309,A86041,6656
202309,A86601,8808
202309,A87002,5722
202309,A87004,24405
202309,A87005,12884
202309,A87006,5907
202309,A87007,18346
202309,A87008,8476
202309,A87009,15663
202309,A87011,6608
202309,A87012,7577
202309,A87013,9278
202309,A87016,12390
202309,A87017,6202
202309,A87019,5039
202309,A87020,8683
202309,A87022,9393
202309,A87023,4845
202309,A87029,20420
202309,A87030,5950
202309,A87600,4926
202309,A87612,6313
202309,A87615,5252
202309,A88001,3613
202309,A88002,17191
202309,A88003,14437
202309,A88004,9209
202309,A88005,4534
202309,A88006,7988
202309,A88007,8010
202309,A88008,6465
202309,A88009,6106
202309,A88010,3120
202309,A88012,6221
202309,A88013,19161
202309,A88014,2849
202309,A88015,7229
202309,A88016,8409
202309,A88022,11070
202309,A88023,5379
202309,A88025,4594
202309,A88601,4029
202309,A88608,5854
202309,A88613,4137
202309,A89001,13359
202309,A89002,7069
202309,A89004,11742
202309,A89005,5465
202309,A89006,8371
202309,A89007,10359
202309,A89008,5371
202309,A89009,9283
202309,A89010,12413
202309,A89011,4636
202309,A89012,11097
202309,A89013,5360
202309,A89015,9226
202309,A89016,9197
202309,A89017,14350
202309,A89018,5262
202309,A89019,14938
202309,A89020,8938
202309,A89021,8434
202309,A89022,5155
202309,A89023,8115
202309,A89024,7042
202309,A89025,10409
202309,A89026,7358
202309,A89027,6431
202309,A89028,7312
202309,A89030,6544
202309,A89031,5876
202309,A89032,9318
202309,A89034,4332
202309,A89035,9647
202309,A89036,2144
202309,A89040,4571
202309,A89041,8162
202309,A89614,4592
202309,A89616,2532
202309,A89617,3780
202309,A89623,2940
202309,B81003,12745
202309,B81004,12471
202309,B81005,16922
202309,B81006,14766
202309,B81007,9736
202309,B81008,29994
202309,B81009,9334
202309,B81011,10037
202309,B81012,3275
202309,B81013,8654
202309,B81015,16576
202309,B81016,10070
202309,B81017,17858
202309,B81018,9256
202309,B81020,7702
202309,B81022,13120
202309,B81024,9866
202309,B81025,34222
202309,B81026,20157
202309,B81027,8074
202309,B81029,11527
202309,B81030,24185
202309,B81031,21525
202309,B81032,5173
202309,B81034,11379
202309,B81035,7025
202309,B81036,18369
202309,B81037,14725
202309,B81038,7947
202309,B81039,34206
202309,B81040,15063
202309,B81041,6258
202309,B81042,13408
202309,B81043,14894
202309,B81045,12527
202309,B81046,8587
202309,B81047,7485
202309,B81048,56362
202309,B81051,10245
202309,B81052,7444
202309,B81054,8350
202309,B81058,7909
202309,B81061,46000
202309,B81063,7107
202309,B81064,9883
202309,B81065,11271
202309,B81068,17540
202309,B81069,26645
202309,B81074,13271
202309,B81075,3464
202309,B81082,6560
202309,B81085,5256
202309,B81087,8127
202309,B81088,8000
202309,B81090,4556
202309,B81091,5411
202309,B81092,11839
202309,B81097,2752
202309,B81099,10606
202309,B81100,3925
202309,B81101,22923
202309,B81104,7573
202309,B81108,4584
202309,B81109,12225
202309,B81112,12719
202309,B81113,8775
202309,B81118,7948
202309,B81119,6501
202309,B81606,4379
202309,B81616,2805
202309,B81617,9545
202309,B81619,3029
202309,B81628,2923
202309,B81631,4646
202309,B81635,3454
202309,B81642,4303
202309,B81645,3236
202309,B81647,3144
202309,B81648,1566
202309,B81653,7460
202309,B81655,3130
202309,B81656,6756
202309,B81663,2700
202309,B81665,2390
202309,B81666,2170
202309,B81675,13953
202309,B81697,2754
202309,B82002,7522
202309,B82004,10916
202309,B82005,58471
202309,B82007,9538
202309,B82008,8670
202309,B82010,7995
202309,B82011,5587
202309,B82012,14945
202309,B82013,19893
202309,B82014,6840
202309,B82016,8290
202309,B82017,13564
202309,B82018,6435
202309,B82019,3904
202309,B82021,9398
202309,B82022,5682
202309,B82023,6327
202309,B82024,9144
202309,B82025,21108
202309,B82026,33253
202309,B82027,14368
202309,B82029,3242
202309,B82030,5900
202309,B82031,10838
202309,B82032,11987
202309,B82033,10981
202309,B82034,6332
202309,B82035,3576
202309,B82036,7639
202309,B82037,8897
202309,B82038,25845
202309,B82041,16127
202309,B82042,8585
202309,B82044,9333
202309,B82045,4209
202309,B82046,3137
202309,B82047,19499
202309,B82049,7709
202309,B82050,21186
202309,B82053,14446
202309,B82054,15269
202309,B82057,7145
202309,B82059,10998
202309,B82060,12799
202309,B82061,7422
202309,B82063,9412
202309,B82064,3504
202309,B82066,9716
202309,B82067,8016
202309,B82068,3608
202309,B82069,7403
202309,B82071,7524
202309,B82072,5259
202309,B82073,10582
202309,B82074,18482
202309,B82075,9708
202309,B82077,6047
202309,B82078,6099
202309,B82079,3727
202309,B82080,19005
202309,B82081,7139
202309,B82083,44248
202309,B82086,5075
202309,B82088,10708
202309,B82091,7881
202309,B82097,11309
202309,B82098,24804
202309,B82100,8065
202309,B82101,5199
202309,B82104,7953
202309,B82105,9287
202309,B82106,4474
202309,B82609,3975
202309,B82619,1612
202309,B82622,1540
202309,B82628,4110
202309,B83002,5391
202309,B83005,7003
202309,B83008,19747
202309,B83009,15546
202309,B83010,9978
202309,B83012,10938
202309,B83014,13466
202309,B83015,8518
202309,B83016,8431
202309,B83018,12468
202309,B83019,6961
202309,B83020,18220
202309,B83022,9484
202309,B83025,4348
202309,B83026,5599
202309,B83028,10923
202309,B83029,10194
202309,B83031,3873
202309,B83032,3917
202309,B83033,86755
202309,B83034,7089
202309,B83035,10726
202309,B83037,10125
202309,B83038,18701
202309,B83039,24094
202309,B83041,14610
202309,B83042,8437
202309,B83045,12898
202309,B83051,10995
202309,B83052,24357
202309,B83054,6268
202309,B83055,31922
202309,B83056,8179
202309,B83058,8522
202309,B83062,8708
202309,B83063,20220
202309,B83064,11207
202309,B83067,7718
202309,B83604,4127
202309,B83611,11009
202309,B83614,9646
202309,B83620,3373
202309,B83621,4439
202309,B83622,4418
202309,B83624,17566
202309,B83626,6529
202309,B83627,3750
202309,B83628,9487
202309,B83629,3123
202309,B83641,8571
202309,B83642,4031
202309,B83653,7921
202309,B83657,5653
202309,B83659,3609
202309,B83660,6134
202309,B83661,2994
202309,B84001,10156
202309,B84003,8087
202309,B84004,18605
202309,B84006,13228
202309,B84007,10551
202309,B84008,15759
202309,B84009,11507
202309,B84010,10665
202309,B84011,11372
202309,B84012,29225
202309,B84013,8921
202309,B84014,5105
202309,B84016,10984
202309,B84019,16040
202309,B84021,8824
202309,B84612,8935
202309,B84613,9621
202309,B84618,8807
202309,B84623,4742
202309,B85001,7100
202309,B85002,4481
202309,B85004,5943
202309,B85005,6742
202309,B85006,15080
202309,B85008,6059
202309,B85009,8635
202309,B85010,6672
202309,B85012,10884
202309,B85014,9547
202309,B85015,8889
202309,B85016,10289
202309,B85018,9183
202309,B85019,17397
202309,B85020,6775
202309,B85021,9159
202309,B85022,7825
202309,B85023,6332
202309,B85024,9665
202309,B85025,12228
202309,B85026,8060
202309,B85027,10718
202309,B85028,16075
202309,B85030,8907
202309,B85031,6800
202309,B85032,6243
202309,B85033,5401
202309,B85036,7947
202309,B85037,5929
202309,B85038,5801
202309,B85041,15673
202309,B85042,8782
202309,B85044,2944
202309,B85048,4168
202309,B85051,7918
202309,B85054,9914
202309,B85055,11940
202309,B85058,2902
202309,B85059,7724
202309,B85060,2447
202309,B85061,9407
202309,B85062,15126
202309,B85606,4682
202309,B85610,10624
202309,B85611,3813
202309,B85612,4171
202309,B85614,6773
202309,B85619,3021
202309,B85620,2468
202309,B85623,3343
202309,B85634,3606
202309,B85636,4157
202309,B85640,3303
202309,B85641,4487
202309,B85645,2523
202309,B85646,6184
202309,B85650,4715
202309,B85652,7656
202309,B85655,2547
202309,B85659,1915
202309,B85660,6456
202309,B86002,15263
202309,B86003,17036
202309,B86004,8273
202309,B86005,5636
202309,B86006,15214
202309,B86007,8931
202309,B86008,19510
202309,B86009,8241
202309,B86010,9877
202309,B86011,10001
202309,B86012,19108
202309,B86013,20821
202309,B86014,13296
202309,B86015,14077
202309,B86016,18083
202309,B86017,16353
202309,B86018,7715
202309,B86019,9689
202309,B86020,11174
202309,B86022,14066
202309,B86024,8986
202309,B86025,10884
202309,B86028,5194
202309,B86029,5699
202309,B86030,11589
202309,B86032,18885
202309,B86033,11871
202309,B86034,6733
202309,B86035,9377
202309,B86036,11421
202309,B86038,11649
202309,B86039,9750
202309,B86041,7816
202309,B86042,15263
202309,B86043,9404
202309,B86044,27434
202309,B86048,14290
202309,B86049,9917
202309,B86050,20600
202309,B86051,14642
202309,B86052,11397
202309,B86054,6291
202309,B86055,6448
202309,B86056,4375
202309,B86057,18845
202309,B86059,15800
202309,B86060,10594
202309,B86061,5050
202309,B86062,8392
202309,B86064,16494
202309,B86066,13992
202309,B86067,17363
202309,B86068,7651
202309,B86069,13591
202309,B86070,4485
202309,B86071,8638
202309,B86075,12981
202309,B86081,14975
202309,B86086,7367
202309,B86089,5927
202309,B86092,6543
202309,B86093,5794
202309,B86094,4837
202309,B86096,5455
202309,B86100,7661
202309,B86101,3471
202309,B86103,4020
202309,B86104,16053
202309,B86106,7236
202309,B86108,5867
202309,B86109,7290
202309,B86110,39192
202309,B86623,5345
202309,B86625,4209
202309,B86642,2961
202309,B86643,3591
202309,B86648,2325
202309,B86654,5389
202309,B86655,1884
202309,B86658,10482
202309,B86666,5183
202309,B86667,7784
202309,B86669,2511
202309,B86672,6414
202309,B86673,3250
202309,B86675,4749
202309,B86678,2774
202309,B87001,9441
202309,B87002,11089
202309,B87003,10620
202309,B87004,11309
202309,B87005,11495
202309,B87006,11034
202309,B87007,14142
202309,B87008,13818
202309,B87009,6267
202309,B87011,13408
202309,B87012,9660
202309,B87013,14062
202309,B87015,8097
202309,B87016,23867
202309,B87017,26660
202309,B87018,11114
202309,B87019,7142
202309,B87020,13672
202309,B87021,12366
202309,B87022,8582
202309,B87025,7814
202309,B87026,14616
202309,B87027,13922
202309,B87028,10963
202309,B87030,31932
202309,B87031,21562
202309,B87032,7988
202309,B87033,4536
202309,B87036,4306
202309,B87039,15588
202309,B87042,5530
202309,B87044,2454
202309,B87602,3016
202309,B87604,2590
202309,C81001,11363
202309,C81002,12399
202309,C81003,10187
202309,C81004,10384
202309,C81005,16756
202309,C81006,21688
202309,C81007,11498
202309,C81008,9671
202309,C81009,15859
202309,C81010,13161
202309,C81012,15617
202309,C81013,4695
202309,C81014,11628
202309,C81015,11937
202309,C81016,8845
202309,C81017,9117
202309,C81018,8892
202309,C81020,10330
202309,C81021,15177
202309,C81022,4006
202309,C81023,8002
202309,C81025,10331
202309,C81026,6461
202309,C81027,7722
202309,C81028,7408
202309,C81029,17069
202309,C81030,8765
202309,C81031,9017
202309,C81032,14003
202309,C81033,16085
202309,C81034,10554
202309,C81035,11628
202309,C81036,4911
202309,C81037,10115
202309,C81038,12528
202309,C81039,3508
202309,C81040,7647
202309,C81041,11592
202309,C81042,12841
202309,C81044,8241
202309,C81045,13374
202309,C81046,4667
202309,C81047,11223
202309,C81048,11094
202309,C81049,9677
202309,C81050,9412
202309,C81051,27679
202309,C81052,7423
202309,C81053,10699
202309,C81054,34324
202309,C81055,4428
202309,C81056,6372
202309,C81057,10076
202309,C81058,8596
202309,C81059,6006
202309,C81060,10675
202309,C81061,18442
202309,C81062,9010
202309,C81063,9484
202309,C81064,12701
202309,C81065,8691
202309,C81066,11667
202309,C81067,9533
202309,C81068,12578
202309,C81069,13204
202309,C81070,4016
202309,C81071,14771
202309,C81072,30346
202309,C81073,11991
202309,C81074,6599
202309,C81075,5370
202309,C81077,3514
202309,C81080,8393
202309,C81081,16998
202309,C81082,3235
202309,C81083,17027
202309,C81084,20855
202309,C81086,8224
202309,C81089,5969
202309,C81091,8563
202309,C81092,5700
202309,C81094,7984
202309,C81095,4945
202309,C81096,5616
202309,C81097,6388
202309,C81099,10791
202309,C81101,8377
202309,C81106,6949
202309,C81108,15623
202309,C81110,11704
202309,C81113,6283
202309,C81114,12986
202309,C81115,5108
202309,C81118,8119
202309,C81604,4053
202309,C81611,2370
202309,C81615,2209
202309,C81616,5249
202309,C81634,4515
202309,C81638,3749
202309,C81640,3784
202309,C81647,4249
202309,C81649,7660
202309,C81652,4885
202309,C81653,4388
202309,C81655,3648
202309,C81658,7113
202309,C81662,8217
202309,C82001,24719
202309,C82002,11023
202309,C82003,11570
202309,C82005,10782
202309,C82007,10458
202309,C82008,8420
202309,C82009,28526
202309,C82010,15098
202309,C82011,12041
202309,C82012,11533
202309,C82013,12318
202309,C82014,17947
202309,C82016,7152
202309,C82017,15745
202309,C82018,13729
202309,C82019,5929
202309,C82020,19455
202309,C82021,8199
202309,C82022,7257
202309,C82024,21269
202309,C82025,10858
202309,C82026,8141
202309,C82027,7781
202309,C82028,7137
202309,C82030,6848
202309,C82031,14728
202309,C82032,7587
202309,C82033,11622
202309,C82034,9380
202309,C82035,7707
202309,C82037,10462
202309,C82038,36554
202309,C82039,10718
202309,C82040,8625
202309,C82041,12734
202309,C82042,12902
202309,C82043,11419
202309,C82044,9669
202309,C82045,7896
202309,C82046,17052
202309,C82047,10670
202309,C82048,4780
202309,C82050,14036
202309,C82051,11652
202309,C82052,3907
202309,C82053,11200
202309,C82054,11938
202309,C82055,14447
202309,C82056,14286
202309,C82059,1768
202309,C82060,4090
202309,C82061,14470
202309,C82062,8685
202309,C82063,12537
202309,C82064,12104
202309,C82066,16237
202309,C82067,8741
202309,C82068,12204
202309,C82070,10323
202309,C82071,13321
202309,C82072,8206
202309,C82073,14674
202309,C82075,10704
202309,C82076,7463
202309,C82077,12495
202309,C82078,12046
202309,C82079,7184
202309,C82080,4842
202309,C82082,5229
202309,C82084,3546
202309,C82086,10113
202309,C82088,10015
202309,C82091,9107
202309,C82092,4226
202309,C82093,12390
202309,C82094,6884
202309,C82095,9263
202309,C82096,9674
202309,C82097,2176
202309,C82098,7435
202309,C82099,4504
202309,C82100,5965
202309,C82102,4886
202309,C82103,7618
202309,C82107,7822
202309,C82109,4939
202309,C82111,17296
202309,C82112,10798
202309,C82114,2553
202309,C82116,4393
202309,C82119,3015
202309,C82120,3667
202309,C82121,14740
202309,C82124,24585
202309,C82600,5986
202309,C82610,6795
202309,C82611,6711
202309,C82614,4559
202309,C82620,2014
202309,C82624,8344
202309,C82627,7180
202309,C82628,3587
202309,C82631,7091
202309,C82634,5014
202309,C82639,11170
202309,C82642,10118
202309,C82643,13641
202309,C82644,4767
202309,C82649,5334
202309,C82650,5147
202309,C82651,3855
202309,C82653,1873
202309,C82656,2744
202309,C82659,2847
202309,C82660,6433
202309,C82662,7433
202309,C82667,7594
202309,C82669,4445
202309,C82670,881
202309,C82671,7294
202309,C82676,6749
202309,C82678,6235
202309,C82680,4907
202309,C83001,28774
202309,C83002,8970
202309,C83003,21587
202309,C83004,11409
202309,C83005,7497
202309,C83007,27475
202309,C83008,7095
202309,C83009,8937
202309,C83010,18980
202309,C83011,12031
202309,C83013,7995
202309,C83014,10460
202309,C83015,8673
202309,C83018,12064
202309,C83019,21432
202309,C83020,9692
202309,C83022,22008
202309,C83023,17341
202309,C83024,3518
202309,C83025,18220
202309,C83026,23948
202309,C83027,10040
202309,C83028,7824
202309,C83029,5358
202309,C83030,5093
202309,C83031,12642
202309,C83032,7079
202309,C83033,3630
202309,C83035,11868
202309,C83036,8072
202309,C83037,9710
202309,C83038,8275
202309,C83039,5592
202309,C83040,14749
202309,C83041,7853
202309,C83042,6707
202309,C83043,10593
202309,C83044,12074
202309,C83045,17237
202309,C83046,5953
202309,C83048,13697
202309,C83049,9543
202309,C83051,8454
202309,C83052,3771
202309,C83053,2571
202309,C83054,15098
202309,C83055,5992
202309,C83056,14470
202309,C83057,7998
202309,C83058,8266
202309,C83059,13559
202309,C83060,16778
202309,C83061,9117
202309,C83062,5671
202309,C83063,16114
202309,C83064,14376
202309,C83065,8506
202309,C83067,6750
202309,C83072,10101
202309,C83073,7359
202309,C83074,4529
202309,C83075,9605
202309,C83078,9019
202309,C83079,5750
202309,C83080,5988
202309,C83082,10286
202309,C83083,7710
202309,C83085,13051
202309,C83611,6923
202309,C83613,5227
202309,C83614,3627
202309,C83617,8958
202309,C83626,9954
202309,C83634,4643
202309,C83635,5507
202309,C83641,4165
202309,C83643,2386
202309,C83649,5125
202309,C83650,3892
202309,C83653,3727
202309,C84001,30083
202309,C84004,9672
202309,C84005,27089
202309,C84008,5800
202309,C84009,13914
202309,C84010,12857
202309,C84011,9178
202309,C84012,12610
202309,C84013,14918
202309,C84014,10940
202309,C84016,15931
202309,C84017,26278
202309,C84018,12174
202309,C84019,13109
202309,C84020,7175
202309,C84021,13258
202309,C84023,37718
202309,C84024,30099
202309,C84025,7581
202309,C84026,12755
202309,C84028,7274
202309,C84029,20938
202309,C84030,11134
202309,C84031,2890
202309,C84032,19016
202309,C84033,8869
202309,C84034,8666
202309,C84035,11633
202309,C84036,17596
202309,C84037,12496
202309,C84039,12210
202309,C84042,7444
202309,C84043,12920
202309,C84044,10208
202309,C84045,7876
202309,C84046,8745
202309,C84047,9989
202309,C84049,12337
202309,C84051,19561
202309,C84053,16391
202309,C84055,11220
202309,C84057,4078
202309,C84059,12284
202309,C84060,8891
202309,C84061,9483
202309,C84063,8667
202309,C84064,9575
202309,C84065,5209
202309,C84066,10808
202309,C84067,5812
202309,C84069,13756
202309,C84072,10665
202309,C84074,4736
202309,C84076,4003
202309,C84077,18468
202309,C84078,13420
202309,C84080,13613
202309,C84081,6681
202309,C84084,8341
202309,C84085,10100
202309,C84086,14296
202309,C84087,5950
202309,C84090,9786
202309,C84091,8816
202309,C84092,5295
202309,C84094,22777
202309,C84095,7158
202309,C84101,3695
202309,C84103,3974
202309,C84105,6526
202309,C84106,8645
202309,C84107,7435
202309,C84112,3840
202309,C84113,7191
202309,C84115,8366
202309,C84116,8535
202309,C84117,20915
202309,C84120,15958
202309,C84122,9966
202309,C84123,3950
202309,C84127,487
202309,C84129,9355
202309,C84131,7922
202309,C84136,4875
202309,C84140,5049
202309,C84142,5306
202309,C84144,4819
202309,C84150,4541
202309,C84151,3047
202309,C84605,17315
202309,C84613,12388
202309,C84619,7008
202309,C84621,5055
202309,C84624,5516
202309,C84628,7801
202309,C84629,4527
202309,C84637,6584
202309,C84646,6805
202309,C84654,4184
202309,C84656,8047
202309,C84658,9740
202309,C84660,4475
202309,C84664,5054
202309,C84667,5318
202309,C84676,7685
202309,C84679,4179
202309,C84682,4946
202309,C84683,10858
202309,C84691,8520
202309,C84692,2709
202309,C84693,5228
202309,C84694,4143
202309,C84695,4091
202309,C84696,5197
202309,C84703,6585
202309,C84704,7002
202309,C84705,7325
202309,C84714,6470
202309,C84720,33
202309,C85001,4364
202309,C85003,12763
202309,C85004,16793
202309,C85005,7659
202309,C85006,5250
202309,C85007,10829
202309,C85008,12978
202309,C85009,6841
202309,C85010,17076
202309,C85013,11045
202309,C85014,9665
202309,C85016,11455
202309,C85017,11786
202309,C85018,7350
202309,C85019,10644
202309,C85020,13011
202309,C85022,12775
202309,C85023,11010
202309,C85024,6455
202309,C85028,4263
202309,C85030,10041
202309,C85033,11804
202309,C85614,3944
202309,C85619,8269
202309,C85622,2216
202309,C85623,4778
202309,C86001,16512
202309,C86002,8339
202309,C86003,9456
202309,C86005,4884
202309,C86006,10305
202309,C86007,16465
202309,C86009,7426
202309,C86011,13653
202309,C86012,5607
202309,C86013,8740
202309,C86015,8269
202309,C86016,8906
202309,C86017,13869
202309,C86018,10104
202309,C86019,15891
202309,C86020,8841
202309,C86021,6111
202309,C86023,14019
202309,C86024,11793
202309,C86025,6930
202309,C86026,4911
202309,C86029,14447
202309,C86032,5644
202309,C86033,5296
202309,C86034,7482
202309,C86037,9630
202309,C86038,9231
202309,C86605,7711
202309,C86606,2386
202309,C86609,20491
202309,C86611,6349
202309,C86614,9557
202309,C86616,3621
202309,C86621,4547
202309,C86625,1700
202309,C86626,2537
202309,C87002,20763
202309,C87003,11237
202309,C87004,11721
202309,C87005,18347
202309,C87006,14588
202309,C87007,11621
202309,C87008,16264
202309,C87009,10439
202309,C87010,4654
202309,C87012,15129
202309,C87013,6457
202309,C87014,8354
202309,C87015,6784
202309,C87016,12280
202309,C87017,13157
202309,C87018,7951
202309,C87020,5261
202309,C87022,8386
202309,C87024,3876
202309,C87029,11948
202309,C87030,9406
202309,C87031,3868
202309,C87603,3807
202309,C87604,5728
202309,C87608,5918
202309,C87616,6290
202309,C87620,7011
202309,C87622,10016
202309,C88005,16121
202309,C88006,5253
202309,C88007,28541
202309,C88008,15066
202309,C88009,6008
202309,C88010,14126
202309,C88011,4790
202309,C88014,8867
202309,C88015,18962
202309,C88016,13347
202309,C88018,8853
202309,C88019,8649
202309,C88020,7363
202309,C88021,7377
202309,C88022,4809
202309,C88023,9858
202309,C88025,8910
202309,C88026,14117
202309,C88027,4999
202309,C88028,9728
202309,C88030,8213
202309,C88031,13078
202309,C88032,5757
202309,C88034,9206
202309,C88035,10195
202309,C88036,10617
202309,C88037,13139
202309,C88038,6601
202309,C88039,8608
202309,C88040,5959
202309,C88041,12019
202309,C88043,10898
202309,C88044,5204
202309,C88045,8975
202309,C88046,7264
202309,C88047,7816
202309,C88048,7627
202309,C88049,5887
202309,C88050,3701
202309,C88051,8454
202309,C88052,10570
202309,C88053,4171
202309,C88054,7999
202309,C88059,2584
202309,C88060,4355
202309,C88062,4805
202309,C88069,15513
202309,C88070,7848
202309,C88072,12202
202309,C88073,5637
202309,C88074,5170
202309,C88076,8391
202309,C88077,7563
202309,C88078,6935
202309,C88079,8651
202309,C88082,2429
202309,C88083,2527
202309,C88084,3234
202309,C88085,9520
202309,C88086,2632
202309,C88087,9097
202309,C88088,7060
202309,C88090,8178
202309,C88091,2499
202309,C88092,9447
202309,C88095,5564
202309,C88622,2612
202309,C88627,38449
202309,C88631,1448
202309,C88647,10763
202309,C88648,6943
202309,C88652,3775
202309,C88655,1146
202309,D81001,13262
202309,D81002,22141
202309,D81003,10711
202309,D81004,13571
202309,D81005,16051
202309,D81008,20442
202309,D81010,11771
202309,D81011,10293
202309,D81012,11003
202309,D81013,20991
202309,D81014,23952
